signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.6887,open,3.44,0.94,08:30,매수관심
2026-05-27,2026-05-28,FUTG,51.6,중립,잔구간,-8.8,4.8302,open,0.41,-2.09,09:00,강한매수
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.845,open,-15.99,-18.49,05:30,정보부족
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.5901,open,-2.52,-5.02,06:00,강한매도
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.5096,open,2.68,0.18,06:30,매도주의
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.56,open,-0.64,-3.14,07:00,중립
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.53,open,1.31,-1.19,07:30,중립
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.48,open,4.73,2.23,08:00,중립
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.47,open,5.44,2.94,08:30,중립
2026-05-27,2026-05-28,LNKS,47.2,매도주의,잔구간,33.7,1.53,open,1.31,-1.19,09:00,중립
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.5201,open,-4.83,-7.33,05:30,정보부족
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.5188,open,-4.59,-7.09,06:00,중립
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.5102,open,-2.98,-5.48,06:30,매도주의
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.5242,open,-5.57,-8.07,07:00,매도주의
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.4905,open,0.92,-1.58,07:30,매도주의
2026-05-27,2026-05-28,NTCL,47.0,강한매수,전고점돌파,-6.3,0.51,open,-2.94,-5.44,08:00,매수관심
