ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
PRZO,2026-06-01,1.03,1.1,0.8301,0.869,11713689.130697,0.9277,17759856.7935615,11.027271747332119,-15.631067961165051,16.475819147387003
PURR,2026-06-01,11.62,11.62,10.38,10.87,41643546.83478,9.99,16271083.476573,16.316316316316307,-6.454388984509467,162.54812393096427
QBTX,2026-06-15,17.07,19.85,17.01,18.7,3685844.136226,14.88,2164035.35853,14.717741935483867,9.54891622729935,32.2008461349264
QMCO,2026-06-15,15.28,16.0,13.7,13.97,2448199.766056,13.74,1466960.419075,11.208151382823866,-8.573298429319363,20.1560361580905
QSU,2026-06-15,13.66,14.0,12.6,12.75,51357.981296,12.19,113892.125674,12.059064807219038,-6.661786237188874,1.3883450119660599
QTEX,2026-05-29,3.44,3.7,2.08,3.07,108141801.133853,3.0,102188861.692402,14.666666666666664,-10.755813953488376,306.566585077206
QTEX,2026-06-08,1.755,1.77,1.39,1.41,31544794.608024,1.42,24473193.101539,23.591549295774648,-19.65811965811966,34.75193420418538
QTEX,2026-06-09,1.56,1.84,1.45,1.6,43260023.083817,1.41,24473193.101539,10.638297872340436,2.5641025641025665,34.50720227316999
QTEX,2026-06-15,1.53,2.62,1.45,2.2,122263013.258986,1.29,14569505.51424,18.6046511627907,43.79084967320262,18.794662113369604
QUBX,2026-06-15,13.87,16.02,13.87,15.13,668956.328136,12.23,338004.259577,13.409648405560088,9.084354722422507,4.13379209462671
QUCY,2026-06-02,2.73,3.1,2.45,2.45,29443746.16226,2.23,4099825.328795,22.421524663677133,-10.256410256410248,9.142610483212849
REPL,2026-05-29,7.93,9.0664,7.67,8.69,51373461.4731,4.68,2217454.457694,69.44444444444446,9.583858764186632,10.37768686200792
RGNT,2026-06-15,1.7,15.5,1.6855,9.4,186534167.527298,1.5,3042664.744464,13.33333333333333,452.94117647058823,4.563997116696
RKLZ,2026-05-29,1.94,2.07,1.83,1.84,27218500.087745,1.73,40731831.018203,12.13872832369942,-5.154639175257725,70.46606766149118
RKLZ,2026-06-01,2.13,2.4,2.04,2.38,25553619.24444,1.84,33975165.552974,15.76086956521738,11.737089201877934,62.51430461747216
RKTO,2026-06-02,1.485,2.45,1.4,2.22,39159197.698706,1.34,23916354.955831,10.82089552238806,49.494949494949495,32.04791564081354
RKTO,2026-06-12,1.66,1.7099,1.02,1.115,22608917.983694,1.48,8981013.548195,12.162162162162158,-32.831325301204814,13.291900051328602
RLAY,2026-06-02,16.65,17.47,15.69,15.7,11483161.14623,14.26,3050364.059322,16.760168302945296,-5.705705705705702,43.49819148593172
ROLR,2026-06-04,7.6,7.69,5.95,6.11,12890585.401488,5.6,198058.772751,35.714285714285715,-19.60526315789473,1.1091291274055999
RUBI,2026-06-12,0.7001,1.24,0.465,0.4676,265735897.359801,0.6203,2683331.918821,12.864742866354986,-33.20954149407227,1.6644707892446662
RUBI,2026-06-15,0.5166,0.52,0.419,0.4773,26178940.673931,0.4676,2683331.918821,10.47904191616765,-7.607433217189305,1.2547260052406997
RUM,2026-06-04,9.43,10.54,8.165,8.18,13441549.364895,8.33,2903139.564511,13.205282112845135,-13.255567338282079,24.18315257237663
SBFM,2026-06-02,2.89,3.05,2.455,2.6,13312240.195297,2.39,673534.077101,20.920502092050206,-10.03460207612457,1.60974644427139
SBSW,2026-06-15,10.92,11.075,10.63,10.72,5845674.171039,9.86,5912255.979567,10.750507099391486,-1.831501831501825,58.29484395853061
SCZM,2026-06-15,7.68,7.86,7.52,7.55,576377.845575,6.98,590763.829808,10.02865329512893,-1.6927083333333321,4.1235315320598405
SDOT,2026-06-08,14.3,23.89,14.3,20.53,4574025.447364,12.14,1998475.194736,17.792421746293247,43.56643356643357,24.26148886409504
SDOT,2026-06-15,22.25,26.93,20.0,23.47,1022766.095556,16.21,3480830.469527,37.26095003084515,5.483146067415725,56.42426191103268
SHNY,2026-06-15,10.3,10.3765,10.03,10.06,998401.293412,9.36,806784.112501,10.042735042735057,-2.3300970873786424,7.5514992930093605
SMCZ,2026-06-10,9.12,11.42,8.8,11.39,5097446.464527,7.34,2526078.419368,24.250681198910073,24.890350877192997,18.541415598161116
SMU,2026-06-15,9.6,10.94,9.52,9.94,1992296.768996,8.65,1953164.543207,10.982658959537565,3.541666666666665,16.89487329874055
SMUP,2026-06-15,7.55,8.5169,7.55,7.72,254369.735963,6.71,210339.256495,12.518628912071533,2.251655629139072,1.41137641108145
SNDG,2026-06-08,15.6,16.7,15.03,15.72,417189.803158,14.12,368700.864728,10.481586402266291,0.7692307692307756,5.2060562099593595
SOFA,2026-05-29,16.26,16.7099,15.22,16.21,289268.617151,14.0494,110308.599178,15.734479764260403,-0.30750307503075464,1.5497696332913933
SOFX,2026-05-29,11.13,11.505,10.4801,11.11,5537715.228708,9.7,2008589.198343,14.74226804123713,-0.17969451931717292,19.4833152239271
SOLZ,2026-06-15,7.43,7.635,7.35,7.56,1382333.690801,6.695,1253534.271069,10.978342046303203,1.7496635262449516,8.392411944806955
SOUX,2026-06-15,15.17,17.0,15.17,15.43,141348.704513,13.69,125703.163077,10.810810810810814,1.7139090309822005,1.72087630252413
SOXS,2026-06-04,5.57,5.81,5.0,5.2,665759481.392861,4.91,403682973.607218,13.441955193482691,-6.642728904847399,1982.0834004114406
